name,type,category,flavor_text,base_power,accuracy,pp
Photon Geyser,Psychic,Special,The user attacks the target with a pillar of light. This move inflicts damage using the Attack or Sp. Atk stat— whichever is higher for the user.,100,100,5
Pika Papow,Electric,Special,"The more Pikachu loves its Trainer, the greater the move’s power. It never misses.",,,20
Pin Missile,Bug,Physical,The user attacks by shooting sharp spikes at the target. This move hits two to five times in a row.,25,95,20
Plasma Fists,Electric,Physical,The user attacks with electrically charged fists. This move changes Normal-type moves to Electric-type moves.,100,100,15
Play Nice,Normal,Status,"The user and the target become friends, and the target loses its will to fight. This lowers the target’s Attack stat.",,,20
Play Rough,Fairy,Physical,The user attacks by playing rough with the target. This may also lower the target’s Attack stat.,90,90,10
Pluck,Flying,Physical,"The user attacks by pecking the target. If the target is holding a Berry, the user eats it and gains its effect.",60,100,20
Poison Fang,Poison,Physical,The user bites the target with toxic fangs. This may also leave the target badly poisoned.,50,100,15
Poison Gas,Poison,Status,"A cloud of poison gas is sprayed in the faces of opposing Pokémon, poisoning those it hits.",,90,40
Poison Jab,Poison,Physical,"The target is stabbed with a tentacle, an arm, or the like steeped in poison. This may also poison the target.",80,100,20
Poison Powder,Poison,Status,The user scatters a cloud of poisonous dust that poisons the target.,,75,35
Poison Sting,Poison,Physical,The user stabs the target with a poisonous stinger to inflict damage. This may also poison the target.,15,100,35
Poison Tail,Poison,Physical,The user hits the target with its tail. This move has a heightened chance of landing a critical hit and may also poison the target.,50,100,25
Pollen Puff,Bug,Special,"The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead.",90,100,15
Poltergeist,Ghost,Physical,The user attacks by controlling the target’s item. This move fails if the target isn’t holding an item.,110,90,5
Population Bomb,Normal,Physical,The user’s fellows gather in droves to perform a combo attack that hits the target one to ten times in a row.,20,90,10
Pounce,Bug,Physical,The user attacks by pouncing on the target. This also lowers the target’s Speed stat.,50,100,20
Pound,Normal,Physical,"The target is physically pounded with a long tail, a foreleg, or the like.",40,100,35
Powder,Bug,Status,"The user covers the target in a combustible powder. If the target uses a Fire-type move, the powder explodes and damages the target.",,100,20
Powder Snow,Ice,Special,The user attacks with a chilling gust of powdery snow. This may also leave opposing Pokémon frozen.,40,100,25
Power Gem,Rock,Special,The user attacks with a ray of light that sparkles as if it were made of gemstones.,80,100,20
Power Shift,Normal,Status,The user swaps its Attack and Defense stats.,,,10
Power Split,Psychic,Status,The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target.,,,10
Power Swap,Psychic,Status,The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target.,,,10
Power Trick,Psychic,Status,The user employs its psychic power to switch its Attack stat with its Defense stat.,,,10
Power Trip,Dark,Physical,"The user boasts its strength and attacks the target. The more the user’s stats are boosted, the greater the move’s power.",20,100,10
Power Whip,Grass,Physical,"The user violently whirls its vines, tentacles, or the like to lash the target.",120,85,10
Power-Up Punch,Fighting,Physical,Striking opponents over and over makes the user’s fists harder. Hitting a target raises the Attack stat.,40,100,20
Precipice Blades,Ground,Physical,The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone.,120,85,10
Present,Normal,Physical,"The user attacks by giving the target a gift with a hidden trap. The gift restores HP sometimes, however.",,90,15
Prismatic Laser,Psychic,Special,The user shoots powerful lasers using the power of a prism. The user can’t move on the next turn.,160,100,10
Protect,Normal,Status,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.,,,10
Psybeam,Psychic,Special,The target is attacked with a peculiar ray. This may also confuse the target.,65,100,20
Psyblade,Psychic,Physical,Power increases on Electric Terrain.,80,100,15
Psych Up,Normal,Status,The user hypnotizes itself into copying any stat change made by the target.,,,10
Psychic,Psychic,Special,The target is hit with a strong telekinetic force to inflict damage. This may also lower the target’s Sp. Def stat.,90,100,10
Psychic Fangs,Psychic,Physical,"The user attacks by biting the target with its psychic capabilities. This move can also break barriers, such as Light Screen and Reflect.",85,100,10
Psychic Terrain,Psychic,Status,This protects Pokémon on the ground from priority moves and powers up Psychic-type moves for five turns.,,,10
Psycho Boost,Psychic,Special,The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.,140,90,5
Psycho Cut,Psychic,Physical,The user tears at the target with blades formed by psychic power. This move has a heightened chance of landing a critical hit.,70,100,20
Psycho Shift,Psychic,Status,"Using its psychic power of suggestion, the user transfers its status conditions to the target.",,100,10
Psyshield Bash,Psychic,Physical,"Cloaking itself in psychic energy, the user slams into the target. This also boosts the user’s Defense stat.",70,90,10
Psyshock,Psychic,Special,The user materializes an odd psychic wave to attack the target. This move deals physical damage.,80,100,10
Psystrike,Psychic,Special,The user materializes an odd psychic wave to attack the target. This move deals physical damage.,100,100,10
Psywave,Psychic,Special,The target is attacked with an odd psychic wave. The attack varies in intensity.,,100,15
Pulverizing Pancake,Normal,Physical,"Z-Power brings out the true capabilities of the user, Snorlax. The Pokémon moves its enormous body energetically and attacks the target with full force.",210,,1
Punishment,Dark,Physical,"The more the target has powered up with stat changes, the greater the move’s power.",,100,5
Purify,Poison,Status,"The user cures the target’s status condition. If the move succeeds, it also restores the user’s own HP.",,,20
Pursuit,Dark,Physical,The power of this attack move is doubled if it’s used on a target that’s switching out of battle.,40,100,20
Pyro Ball,Fire,Physical,The user attacks by igniting a small stone and launching it as a fiery ball at the target. This may also leave the target with a burn.,120,90,5
Quash,Dark,Status,The user suppresses the target and makes its move go last.,,100,15
Quick Attack,Normal,Physical,"The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first.",40,100,30
Quick Guard,Fighting,Status,The user protects itself and its allies from priority moves.,,,15
Quiver Dance,Bug,Status,"The user lightly performs a beautiful, mystic dance. This boosts the user’s Sp. Atk, Sp. Def, and Speed stats.",,,20
Rage,Normal,Physical,"As long as this move is in use, the power of rage raises the Attack stat each time the user is hit in battle.",20,100,20
Rage Fist,Ghost,Physical,"The user converts its rage into energy to attack. The more times the user has been hit by attacks, the greater the move’s power.",50,100,10
Rage Powder,Bug,Status,The user scatters a cloud of irritating powder to draw attention to itself. Opposing Pokémon aim only at the user.,,,20
Raging Bull,Normal,Physical,"The user performs a tackle like a raging bull. This move’s type depends on the user’s form. It can also break barriers, such as Light Screen and Reflect.",90,100,10
Raging Fury,Fire,Physical,The user rampages around spewing flames for two to three turns. The user then becomes confused.,120,100,10
Rain Dance,Water,Status,"The user summons a heavy rain that falls for five turns, powering up Water-type attacks. The rain also lowers the power of Fire-type attacks.",,,5
Rapid Spin,Normal,Physical,"The user performs a spin attack that can also eliminate the effects of such moves as Bind, Wrap, and Leech Seed. This also boosts the user’s Speed stat.",50,100,40
Razor Leaf,Grass,Physical,Sharp-edged leaves are launched to slash at opposing Pokémon. This move has a heightened chance of landing a critical hit.,55,95,25
Razor Shell,Water,Physical,The user cuts the target with sharp shells to inflict damage. This may also lower the target’s Defense stat.,75,95,10
Razor Wind,Normal,Special,"In this two-turn attack, blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.",80,100,10
Recover,Normal,Status,"The user regenerates its cells, restoring its own HP by up to half its max HP.",,,5
Recycle,Normal,Status,The user recycles a held item that has been used in battle so it can be used again.,,,10
Reflect,Psychic,Status,A wondrous wall of light is put up to reduce damage from physical moves for five turns.,,,20
Reflect Type,Normal,Status,The user reflects the target’s type to become the same type as the target.,,,15
Refresh,Normal,Status,"The user rests to cure itself of poisoning, a burn, or paralysis.",,,20
Relic Song,Normal,Special,The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep.,75,100,10
Rest,Psychic,Status,The user goes to sleep for two turns. This fully restores the user’s HP and cures any status conditions.,,,5
Retaliate,Normal,Physical,The user takes revenge for a fainted ally. This move’s power is boosted if an ally fainted in the previous turn.,70,100,5
Return,Normal,Physical,This full-power attack grows more powerful the more the user likes its Trainer.,,100,20
Revelation Dance,Normal,Special,The user attacks the target by dancing with all its might. This move becomes the same type as the user’s type.,90,100,15
Revenge,Fighting,Physical,This attack move’s power is doubled if the user has been hurt by the opponent in the same turn.,60,100,10
Reversal,Fighting,Physical,An all-out attack that becomes more powerful the less HP the user has.,,100,15
Revival Blessing,Normal,Status,"The user bestows a loving blessing, reviving a party Pokémon that has fainted and restoring half that Pokémon’s max HP.",,,1
Rising Voltage,Electric,Special,The user attacks with electricity rising from the ground. This move’s power is doubled if the target is on Electric Terrain.,70,100,20
Roar,Normal,Status,"The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",,,20
Roar of Time,Dragon,Special,The user blasts the target with power that distorts even time. The user can’t move on the next turn.,150,90,5
Rock Blast,Rock,Physical,The user attacks by hurling hard rocks at the target. This move hits two to five times in a row.,25,90,10
Rock Climb,Normal,Physical,A charging attack that may also leave the foe confused. It’s also one of the Pokétch’s hidden moves.,90,85,20
Rock Polish,Rock,Status,The user polishes its body to reduce drag. This sharply boosts the user’s Speed stat.,,,20
Rock Slide,Rock,Physical,Large boulders are hurled at opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.,75,90,10
Rock Smash,Fighting,Physical,The user attacks with a punch. This may also lower the target’s Defense stat.,40,100,15
Rock Throw,Rock,Physical,The user picks up and throws a small rock at the target to inflict damage.,50,90,15
Rock Tomb,Rock,Physical,The user hurls boulders at the target to inflict damage. This also lowers the target’s Speed stat by cutting off its movement.,60,95,15
Rock Wrecker,Rock,Physical,The user launches a huge boulder at the target to attack. The user can’t move on the next turn.,150,90,5
Role Play,Psychic,Status,"The user mimics the target completely, copying the target’s Ability.",,,10
Rolling Kick,Fighting,Physical,"The user lashes out with a quick, spinning kick. This may also make the target flinch.",60,85,15
Rollout,Rock,Physical,The user continually rolls into the target over five turns. This attack becomes more powerful each time it hits.,30,90,20
Roost,Flying,Status,The user lands and rests its body. This move restores the user’s HP by up to half its max HP.,,,5
Rototiller,Ground,Status,"Tilling the soil, the user makes it easier for plants to grow. This raises the Attack and Sp. Atk stats of Grass-type Pokémon.",,,10
Round,Normal,Special,"The user attacks the target with a song. If others use this move, they will act immediately after the initial user, and the power of their Rounds will be boosted.",60,100,15
Ruination,Dark,Special,The user summons a ruinous disaster. This cuts the target’s HP in half.,1,90,10
Sacred Fire,Fire,Physical,The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.,100,95,5
Sacred Sword,Fighting,Physical,The user attacks by slicing with a sword. The target’s stat changes don’t affect the damage inflicted by this move.,90,100,15
Safeguard,Normal,Status,The user creates a protective field that prevents status conditions for five turns.,,,25
Salt Cure,Rock,Physical,"The user salt cures the target, inflicting damage every turn. Steel and Water types are more strongly affected by this move.",40,100,15
Sand Attack,Ground,Status,"Sand is hurled in the target’s face, lowering the target’s accuracy.",,100,15
Sand Tomb,Ground,Physical,The user traps the target inside a harshly raging sandstorm that inflicts damage for four to five turns.,35,85,15
Sandsear Storm,Ground,Special,The user attacks by wrapping opposing Pokémon in fierce winds and searingly hot sand. This may also leave them with a burn.,100,80,10
Sandstorm,Rock,Status,"A five-turn sandstorm is summoned to damage all Pokémon except Rock, Ground, and Steel types. The sandstorm also boosts the Sp. Def stats of Rock types.",,,10
Sappy Seed,Grass,Physical,The user grows a gigantic stalk that scatters seeds to attack the target. The seeds drain the target’s HP every turn.,90,100,15
Scald,Water,Special,The user attacks by shooting boiling hot water at the target. This may also leave the target with a burn.,80,100,15
Scale Shot,Dragon,Physical,The user attacks by shooting scales two to five times in a row. This move boosts the user’s Speed stat but lowers its Defense stat.,25,90,20
Scary Face,Normal,Status,The user frightens the target with a scary face to harshly lower its Speed stat.,,100,10
Scorching Sands,Ground,Special,The user throws scorching sand at the target to attack. This may also leave the target with a burn.,70,100,10
Scratch,Normal,Physical,"Hard, pointed, sharp claws rake the target to inflict damage.",40,100,35
Screech,Normal,Status,An earsplitting screech harshly lowers the target’s Defense stat.,,85,40
Searing Shot,Fire,Special,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.,100,100,5
Searing Sunraze Smash,Steel,Physical,"After obtaining Z-Power, the user, Solgaleo, attacks the target with full force. This move can ignore the effect of the target’s Ability.",200,,1
Secret Power,Normal,Physical,The additional effects of this attack depend upon where it was used.,70,100,20
Secret Sword,Fighting,Special,The user cuts with its long horn. The odd power contained in the horn deals physical damage to the target.,85,100,10
Seed Bomb,Grass,Physical,The user attacks by slamming a barrage of hard-shelled seeds down on the target from above.,80,100,15
Seed Flare,Grass,Special,The user emits a shock wave from its body to attack the target. This may also harshly lower the target’s Sp. Def stat.,120,85,5
Seismic Toss,Fighting,Physical,The target is thrown using the power of gravity. It inflicts damage equal to the user’s level.,,100,20
Self-Destruct,Normal,Physical,The user attacks everything around it by causing an explosion. The user faints upon using this move.,200,100,5
Shadow Ball,Ghost,Special,The user attacks by hurling a shadowy blob at the target. This may also lower the target’s Sp. Def stat.,80,100,15
Shadow Bone,Ghost,Physical,The user attacks by beating the target with a bone that contains a spirit. This may also lower the target’s Defense stat.,85,100,10
Shadow Claw,Ghost,Physical,The user attacks by slashing the target with a sharp claw made from shadows. This move has a heightened chance of landing a critical hit.,70,100,15
Shadow Force,Ghost,Physical,"The user disappears on the first turn, then attacks on the next turn. This move hits even if the target protects itself.",120,100,5
Shadow Punch,Ghost,Physical,The user throws a punch from the shadows. This attack never misses.,60,,20
Shadow Sneak,Ghost,Physical,The user extends its shadow and attacks the target from behind. This move always goes first.,40,100,30
Sharpen,Normal,Status,"The user makes its edges more jagged, which raises its Attack stat.",,,30
Shed Tail,Normal,Status,The user creates a substitute for itself using its own HP before switching places with a party Pokémon in waiting.,,,10
Sheer Cold,Ice,Special,The target faints instantly. This move is less likely to hit the target if used by Pokémon other than Ice types.,,30,5
Shell Side Arm,Poison,Special,This move is either physical or special—whichever will inflict more damage. This may also poison the target.,90,100,10
Shell Smash,Normal,Status,"The user breaks its shell, which lowers its Defense and Sp. Def stats but sharply boosts its Attack, Sp. Atk, and Speed stats.",,,15
Shell Trap,Fire,Special,"The user sets a shell trap. If the user is hit by a physical move, the trap will explode and inflict damage on opposing Pokémon.",150,100,5
Shelter,Steel,Status,"The user makes its skin as hard as an iron shield, sharply boosting its Defense stat.",,,10
Shift Gear,Steel,Status,"The user rotates its gears, boosting its Attack stat and sharply boosting its Speed stat.",,,10
Shock Wave,Electric,Special,The user strikes the target with a quick jolt of electricity. This attack never misses.,60,,20
Shore Up,Ground,Status,The user restores its own HP by up to half its max HP. It regains more HP in a sandstorm.,,,5
Signal Beam,Bug,Special,The user attacks with a sinister beam of light. This may also confuse the target.,75,100,15
Silk Trap,Bug,Status,"The user spins a silken trap, protecting itself from damage while lowering the Speed stat of any attacker that makes direct contact.",,,10
Silver Wind,Bug,Special,The target is attacked with powdery scales blown by the wind. This may also raise all the user’s stats.,60,100,5
Simple Beam,Normal,Status,The user emits a mysterious psychic wave that changes the target’s Ability to Simple.,,100,15
Sing,Normal,Status,A soothing lullaby is sung in a beautiful voice that puts the target to sleep.,,55,15
Sinister Arrow Raid,Ghost,Physical,"The user, Decidueye, creates countless arrows using its Z-Power and shoots the target with full force.",180,,1
Sizzly Slide,Fire,Physical,The user cloaks itself in fire and charges at the target. This also leaves the target with a burn.,90,100,15
Sketch,Normal,Status,"This move enables the user to permanently learn the move last used by the target. Once used, Sketch disappears.",,,1
Skill Swap,Psychic,Status,The user employs its psychic power to exchange Abilities with the target.,,,10
Skitter Smack,Bug,Physical,The user skitters behind the target to attack. This also lowers the target’s Sp. Atk stat.,70,90,10
Skull Bash,Normal,Physical,"The user tucks in its head to raise its Defense stat on the first turn, then rams the target on the next turn.",130,100,10
Sky Attack,Flying,Physical,The user attacks the turn after using this move. This move has a heightened chance of landing a critical hit and may also make the target flinch.,140,90,5
Sky Drop,Flying,Physical,"The user takes the target into the sky, then drops it during the next turn. The target cannot attack while in the sky.",60,100,10
Sky Uppercut,Fighting,Physical,The user attacks the target with an uppercut thrown skyward with force.,85,90,15
Slack Off,Normal,Status,"The user slacks off, restoring its own HP by up to half its max HP.",,,5
Slam,Normal,Physical,"The target is slammed with a long tail, vines, or the like to inflict damage.",80,75,20
Slash,Normal,Physical,"The target is attacked with a slash of claws, scythes, or the like. This move has a heightened chance of landing a critical hit.",70,100,20
Sleep Powder,Grass,Status,The user scatters a cloud of soporific dust that puts the target to sleep.,,75,15
Sleep Talk,Normal,Status,The user randomly uses one of the moves it knows. This move can only be used while the user is asleep.,,,10
Sludge,Poison,Special,The user hurls unsanitary sludge at the target to inflict damage. This may also poison the target.,65,100,20
Sludge Bomb,Poison,Special,The user hurls unsanitary sludge at the target to inflict damage. This may also poison the target.,90,100,10
Sludge Wave,Poison,Special,The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those it hits.,95,100,10
Smack Down,Rock,Physical,"The user throws a stone or similar projectile to attack the target. If the target is in the air, it will be knocked down to the ground.",50,100,15
Smart Strike,Steel,Physical,The user stabs the target with a sharp horn. This attack never misses.,70,,10
Smelling Salts,Normal,Physical,"This attack’s power is doubled when used on a target with paralysis. This also cures the target’s paralysis, however.",70,100,10
Smog,Poison,Special,The target is attacked with a discharge of filthy gases. This may also poison the target.,30,70,20
Smokescreen,Normal,Status,The user releases an obscuring cloud of smoke or ink. This lowers the target’s accuracy.,,100,20
Snap Trap,Grass,Physical,The user snares the target in a snap trap that inflicts damage for four to five turns.,35,100,15
Snarl,Dark,Special,"The user yells as if it’s ranting about something, which lowers the Sp. Atk stats of opposing Pokémon.",55,95,15
Snatch,Dark,Status,The user steals the effects of any attempts to use a healing or stat-changing move.,,,10
Snipe Shot,Water,Special,"The user ignores the effects of opposing Pokémon’s moves and Abilities that draw in moves, allowing this move to hit the chosen target.",80,100,15
Snore,Normal,Special,This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.,50,100,15
Snowscape,Ice,Status,The user summons a snowstorm lasting five turns. This boosts the Defense stats of Ice types.,,,10
Soak,Water,Status,The user shoots a torrent of water that changes the target’s type to Water.,,100,20
Soft-Boiled,Normal,Status,The user restores its own HP by up to half its max HP.,,,5
Solar Beam,Grass,Special,"The user gathers light on the first turn, then blasts a bundled beam on the next turn.",120,100,10
Solar Blade,Grass,Physical,"The user gathers light on the first turn, then fills a blade with the light’s energy and attacks on the next turn.",125,100,10
Sonic Boom,Normal,Special,The target is hit with a destructive shock wave that always inflicts 20 HP damage.,,90,20
Soul-Stealing 7-Star Strike,Ghost,Physical,"After obtaining Z-Power, the user, Marshadow, punches and kicks the target consecutively with full force.",195,,1
Spacial Rend,Dragon,Special,The user tears the target along with the space around it. This move has a heightened chance of landing a critical hit.,100,95,5
Spark,Electric,Physical,The user attacks the target with an electrically charged tackle. This may also leave the target with paralysis.,65,100,20
Sparkling Aria,Water,Special,"The user bursts into song, emitting many bubbles. Any Pokémon suffering from a burn will be cured by the touch of these bubbles.",90,100,10
Sparkly Swirl,Fairy,Special,The user attacks the target by wrapping it with a whirlwind of an overpowering scent. This also heals all status conditions of the user’s party.,90,100,15
Spectral Thief,Ghost,Physical,"The user hides in the target’s shadow, steals the target’s stat boosts, and then attacks.",90,100,10
Speed Swap,Psychic,Status,The user exchanges Speed stats with the target.,,,10
Spicy Extract,Grass,Status,"The user emits an incredibly spicy extract, sharply boosting the target’s Attack stat and harshly lowering the target’s Defense stat.",,,15
Spider Web,Bug,Status,"The user ensnares the target with thin, gooey silk so it can’t flee from battle.",,,10
Spike Cannon,Normal,Physical,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.,20,100,15
Spikes,Ground,Status,The user lays a trap of spikes at the feet of the opposing team. The spikes will damage opposing Pokémon that switch into battle.,,,20
Spiky Shield,Grass,Status,"In addition to protecting the user from attacks, this move also damages any attacker that makes direct contact.",,,10
Spin Out,Steel,Physical,"The user spins furiously by straining its legs, inflicting damage on the target. This also harshly lowers the user’s Speed stat.",100,100,5
Spirit Break,Fairy,Physical,The user attacks the target with so much force that it could break the target’s spirit. This also lowers the target’s Sp. Atk stat.,75,100,15
Spirit Shackle,Ghost,Physical,The user attacks while simultaneously stitching the target’s shadow to the ground to prevent the target from fleeing.,80,100,10
Spit Up,Normal,Special,"The power stored using the move Stockpile is released at once in an attack. The more power is stored, the greater the move’s power.",,100,10
Spite,Ghost,Status,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.,,100,10
Splash,Normal,Status,The user just flops and splashes around to no effect at all...,,,40
Splintered Stormshards,Rock,Physical,"After obtaining Z-Power, the user, Lycanroc, attacks the target with full force. This move negates the effect on the battlefield.",190,,1
Splishy Splash,Water,Special,The user charges a huge wave with electricity and hits the opposing Pokémon with the wave. This may also leave the opposing Pokémon with paralysis.,90,100,15
Spore,Grass,Status,The user scatters bursts of spores that induce sleep.,,100,15
Spotlight,Normal,Status,The user shines a spotlight on the target so that only the target will be attacked during the turn.,,,15
Springtide Storm,Fairy,Special,The user attacks by wrapping opposing Pokémon in fierce winds brimming with love and hate. This may also lower their Attack stats.,100,80,5
Stealth Rock,Rock,Status,The user lays a trap of levitating stones around the opposing team. The trap damages opposing Pokémon that switch into battle.,,,20
Steam Eruption,Water,Special,The user immerses the target in superheated steam. This may also leave the target with a burn.,110,95,5
Steamroller,Bug,Physical,The user crushes its target by rolling over the target with its rolled-up body. This may also make the target flinch.,65,100,20
Steel Beam,Steel,Special,The user fires a beam of steel that it collected from its entire body. This also damages the user.,140,95,5
Steel Roller,Steel,Physical,The user attacks while destroying the terrain. This move fails if the ground hasn’t turned into a terrain.,130,100,5
Steel Wing,Steel,Physical,The target is hit with wings of steel. This may also boost the user’s Defense stat.,70,90,25
Sticky Web,Bug,Status,"The user weaves a sticky net around the opposing team, which lowers their Speed stats upon switching into battle.",,,20
Stockpile,Normal,Status,The user stores power and boosts its Defense and Sp. Def stats. This move can be used up to three times.,,,20
Stoked Sparksurfer,Electric,Special,"After obtaining Z-Power, the user, Alolan Raichu, attacks the target with full force. This move leaves the target with paralysis.",175,,1
Stomp,Normal,Physical,The user attacks by stomping on the target with a big foot. This may also make the target flinch.,65,100,20
Stomping Tantrum,Ground,Physical,"Driven by frustration, the user attacks the target. This move’s power is doubled if the user’s previous move failed.",75,100,10
Stone Axe,Rock,Physical,"The user swings its stone axes at the target, aiming to land a critical hit. Stone splinters left behind by this attack float around the target.",65,90,15
Stone Edge,Rock,Physical,The user stabs the target with sharpened stones. This move has a heightened chance of landing a critical hit.,100,80,5
Stored Power,Psychic,Special,"The user attacks the target with stored power. The more the user’s stats are boosted, the greater the move’s power.",20,100,10
Storm Throw,Fighting,Physical,The user attacks by striking the target with a fierce blow. This move always lands a critical hit.,60,100,10
Strange Steam,Fairy,Special,The user attacks the target by emitting steam. This may also confuse the target.,90,95,10
Strength,Normal,Physical,The target is slugged with a punch thrown at maximum power.,80,100,15
Strength Sap,Grass,Status,The user restores its own HP by the same amount as the target’s Attack stat. It then lowers the target’s Attack stat.,,100,10
String Shot,Bug,Status,The user blows silk from its mouth that binds opposing Pokémon and harshly lowers their Speed stats.,,95,40
Struggle,Normal,Physical,This attack is used in desperation only if the user has no remaining PP. It also damages the user a little.,50,,
Struggle Bug,Bug,Special,The user attacks by struggling against opposing Pokémon. This also lowers their Sp. Atk stats.,50,100,20
Stuff Cheeks,Normal,Status,"The user eats its held Berry, then sharply boosts its Defense stat.",,,10
Stun Spore,Grass,Status,The user scatters a cloud of numbing powder that paralyzes the target.,,75,30
Submission,Fighting,Physical,The user grabs the target and recklessly dives for the ground. This also damages the user a little.,80,80,20
Substitute,Normal,Status,The user creates a substitute for itself using some of its own HP. The substitute serves as the user’s decoy.,,,10
Sucker Punch,Dark,Physical,This move enables the user to attack first. This move fails if the target is not readying an attack.,70,100,5
Sunny Day,Fire,Status,"The user intensifies the sun for five turns, powering up Fire-type attacks. The sunlight also lowers the power of Water-type attacks.",,,5
Sunsteel Strike,Steel,Physical,The user slams into the target with the force of a meteor. This move can be used on the target regardless of its Ability.,100,100,5
Super Fang,Normal,Physical,The user chomps hard on the target with its sharp front fangs. This cuts the target’s HP in half.,,90,10
Superpower,Fighting,Physical,The user attacks the target with great power. This also lowers the user’s Attack and Defense stats.,120,100,5
Supersonic,Normal,Status,The user generates odd sound waves from its body that confuse the target.,,55,20
Surf,Water,Special,The user attacks everything around it by swamping its surroundings with a giant wave.,90,100,15
Surging Strikes,Water,Physical,"The user, having mastered the Water style, strikes the target with a flowing motion three times in a row. This move always lands a critical hit.",25,100,5
Swagger,Normal,Status,"The user enrages and confuses the target. However, this also sharply boosts the target’s Attack stat.",,85,15
Swallow,Normal,Status,"The power stored using the move Stockpile is absorbed by the user to restore its own HP. The more power is stored, the more HP is restored.",,,10
Sweet Kiss,Fairy,Status,"The user kisses the target with a sweet, angelic cuteness that causes confusion.",,75,10
Sweet Scent,Normal,Status,The user releases a scent that harshly lowers opposing Pokémon’s evasiveness.,,100,20
Swift,Normal,Special,Star-shaped rays are shot at opposing Pokémon. This attack never misses.,60,,20
Switcheroo,Dark,Status,The user trades held items with the target faster than the eye can follow.,,100,10
Swords Dance,Normal,Status,A frenetic dance to uplift the fighting spirit. This sharply boosts the user’s Attack stat.,,,20
Synchronoise,Psychic,Special,"Using an odd shock wave, the user inflicts damage on any Pokémon of the same type in the area around it.",120,100,10
Synthesis,Grass,Status,The user restores its own HP. The amount of HP regained varies with the weather.,,,5
Syrup Bomb,Grass,Special,"The user sets off an explosion of sticky candy syrup, which coats the target and causes the target's Speed stat to drop each turn for three turns.",60,85,10
Tackle,Normal,Physical,A physical attack in which the user charges and slams into the target with its whole body.,40,100,35
Tail Glow,Bug,Status,"The user stares at flashing lights to focus its mind, drastically raising its Sp. Atk stat.",,,20
Tail Slap,Normal,Physical,The user attacks by striking the target with its hard tail. This move hits two to five times in a row.,25,85,10
Tail Whip,Normal,Status,"The user wags its tail cutely, making opposing Pokémon less wary. This lowers their Defense stats.",,100,30
Tailwind,Flying,Status,The user whips up a turbulent whirlwind that boosts the Speed stats of itself and its allies for four turns.,,,15
Take Down,Normal,Physical,A reckless full-body charge attack for slamming into the target. This also damages the user a little.,90,85,20
Take Heart,Psychic,Status,"The user lifts its spirits, curing its own status conditions and boosting its Sp. Atk and Sp. Def stats.",,,10
Tar Shot,Rock,Status,"The user pours sticky tar over the target, lowering the target’s Speed stat. The target becomes weaker to Fire-type moves.",,100,15
Taunt,Dark,Status,The target is taunted into a rage that allows it to use only attack moves for three turns.,,100,20
Tearful Look,Normal,Status,The user gets teary-eyed to make the target lose its combative spirit. This lowers the target’s Attack and Sp. Atk stats.,,,20
Teatime,Normal,Status,The user has teatime with all the Pokémon currently in the battle. Each Pokémon eats its held Berry.,,,10
Techno Blast,Normal,Special,The user attacks by firing a beam of light at the target. This move’s type changes depending on the kind of drive held by the user.,120,100,5
Teeter Dance,Normal,Status,The user performs a wobbly dance that confuses every Pokémon around it.,,100,20
Telekinesis,Psychic,Status,The user makes the target float with its psychic power. The target is easier to hit for three turns.,,,15
Teleport,Psychic,Status,"The user switches places with a party Pokémon in waiting, if any. If a wild Pokémon uses this move, it flees.",,,20
Tera Blast,Normal,Special,"If the user has Terastallized, it unleashes energy of its Tera Type. This move inflicts damage using the Attack or Sp. Atk stat—whichever is higher for the user.",80,100,10
Terrain Pulse,Normal,Special,The user utilizes the energy of the terrain to attack. This move’s type and power change depending on the terrain at the time the move is used.,50,100,10
Thief,Dark,Physical,The user attacks and steals the target’s held item simultaneously. The user can’t steal anything if it already holds an item.,60,100,25
Thousand Arrows,Ground,Physical,This move can hit opposing Pokémon that are in the air. Those Pokémon will be knocked down to the ground.,90,100,10
Thousand Waves,Ground,Physical,The user attacks with a wave that crawls along the ground. Those it hits can’t flee from battle.,90,100,10
Thrash,Normal,Physical,The user rampages and attacks for two to three turns. The user then becomes confused.,120,100,10
Throat Chop,Dark,Physical,"The user attacks the target’s throat, and the resultant suffering prevents the target from using sound-based moves for two turns.",80,100,15
